                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.57334,                0.26971,                0.77088,                0.96148,                0.72671,                0.81843,                 0.5924,                0.78492,                0.35835,                0.79247,             0.00023525,             0.00023525,             0.00023525
                    125,                0.55221,                0.26559,                0.77078,                0.91653,                 0.7283,                0.80474,                0.57644,                0.79422,                0.35748,                0.79492,               0.000227,               0.000227,               0.000227
                    126,                0.54253,                0.26316,                0.76887,                0.97559,                 0.7268,                0.82853,                0.58865,                 0.7868,                0.36688,                 0.7933,             0.00021875,             0.00021875,             0.00021875
                    127,                0.53435,                0.25819,                0.77103,                0.95874,                  0.732,                0.82433,                0.59976,                0.78256,                0.35104,                0.79438,              0.0002105,              0.0002105,              0.0002105
                    128,                0.54939,                0.26135,                0.77165,                0.94802,                0.76107,                0.82758,                 0.5926,                0.78111,                0.35062,                0.79431,             0.00020225,             0.00020225,             0.00020225
                    129,                0.53506,                0.26029,                0.76941,                0.93246,                0.75585,                0.81866,                0.59166,                0.78569,                0.35837,                0.79339,               0.000194,               0.000194,               0.000194
                    130,                0.53324,                0.25715,                0.77042,                0.93377,                0.75257,                0.82557,                0.59387,                0.78474,                0.36371,                0.79405,             0.00018575,             0.00018575,             0.00018575
                    131,                0.53142,                0.25443,                 0.7686,                0.93506,                0.74437,                0.83057,                0.58245,                0.78703,                0.35884,                0.79381,              0.0001775,              0.0001775,              0.0001775
                    132,                0.53501,                0.25687,                0.76866,                0.93871,                0.73782,                0.83715,                0.60279,                0.77339,                0.35173,                0.79275,             0.00016925,             0.00016925,             0.00016925
                    133,                 0.5238,                 0.2541,                0.77125,                0.95123,                0.73518,                0.83817,                0.59553,                0.78038,                0.35091,                 0.7935,               0.000161,               0.000161,               0.000161
                    134,                0.52825,                0.25364,                0.76924,                0.94294,                0.73335,                0.82373,                  0.592,                0.78985,                0.36116,                0.79423,             0.00015275,             0.00015275,             0.00015275
                    135,                0.54405,                0.25953,                0.76767,                0.88719,                0.72532,                0.81206,                0.59994,                0.77791,                0.34746,                0.79463,              0.0001445,              0.0001445,              0.0001445
                    136,                0.51462,                 0.2485,                0.76892,                0.90066,                0.72304,                0.81204,                 0.5816,                0.78697,                0.35125,                0.79494,             0.00013625,             0.00013625,             0.00013625
                    137,                0.50558,                0.24568,                0.76946,                0.89952,                 0.7501,                0.80867,                0.59031,                0.78026,                0.35033,                0.79408,               0.000128,               0.000128,               0.000128
                    138,                0.52121,                0.25085,                 0.7677,                0.91815,                0.74984,                 0.8272,                0.59973,                0.78454,                0.35006,                0.79442,             0.00011975,             0.00011975,             0.00011975
                    139,                0.50887,                0.24567,                0.76708,                0.95731,                0.73965,                0.81423,                0.59388,                0.77991,                0.34716,                0.79398,              0.0001115,              0.0001115,              0.0001115
                    140,                0.50973,                0.24681,                0.76923,                0.92889,                0.73933,                0.81469,                0.59727,                0.77524,                 0.3556,                0.79352,             0.00010325,             0.00010325,             0.00010325
                    141,                0.46703,                0.23735,                0.76772,                 0.9241,                0.73376,                0.82358,                0.59923,                0.77726,                0.35287,                0.79321,                9.5e-05,                9.5e-05,                9.5e-05
                    142,                0.46101,                0.23457,                0.76487,                0.94289,                 0.7446,                0.82081,                 0.5898,                0.78423,                0.36144,                 0.7935,              8.675e-05,              8.675e-05,              8.675e-05
                    143,                0.45201,                 0.2319,                0.76615,                 0.8881,                0.74422,                 0.8148,                0.59063,                0.78724,                0.35617,                0.79372,               7.85e-05,               7.85e-05,               7.85e-05
                    144,                0.45979,                 0.2331,                0.76541,                0.88353,                0.74495,                0.81925,                0.59536,                0.78586,                0.35455,                0.79377,              7.025e-05,              7.025e-05,              7.025e-05
                    145,                0.45247,                0.23073,                0.76556,                0.91194,                0.73381,                0.81811,                0.59132,                 0.7921,                0.35775,                0.79391,                6.2e-05,                6.2e-05,                6.2e-05
                    146,                 0.4479,                0.22857,                0.76606,                0.90996,                0.73003,                0.82164,                0.59002,                0.78828,                0.36128,                 0.7931,              5.375e-05,              5.375e-05,              5.375e-05
                    147,                0.44525,                 0.2254,                0.76807,                0.91294,                0.72351,                0.81741,                 0.5865,                0.78947,                0.35619,                0.79312,               4.55e-05,               4.55e-05,               4.55e-05
                    148,                0.44307,                0.22539,                0.76427,                0.91573,                0.71582,                0.81828,                0.58613,                0.78445,                0.35697,                0.79336,              3.725e-05,              3.725e-05,              3.725e-05
                    149,                0.43378,                0.22089,                0.76385,                0.91218,                0.72319,                0.82363,                0.59305,                0.78541,                0.35529,                0.79303,                2.9e-05,                2.9e-05,                2.9e-05
                    150,                0.44272,                0.22237,                0.76694,                0.91197,                0.73594,                0.83195,                0.59937,                0.78445,                0.35122,                0.79268,              2.075e-05,              2.075e-05,              2.075e-05
